Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
field-nurse-dress,,,,,,,,s,,green,,,fnd-s-green,725.747792,shopify,3,deny,manual,335.00,335.00,true,true,"",https://cdn.shopify.com/s/files/1/0569/5805/8653/products/wagner_field_nurse_dress_15180005_Green.jpg?v=1625318972,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0569/5805/8653/products/000085320014.jpg?v=1625318695,oz,,135.00,
field-nurse-dress,,,,,,,,s,,blue,,,fnd-s-blue,725.747792,shopify,3,deny,manual,335.00,335.00,true,true,"",https://cdn.shopify.com/s/files/1/0569/5805/8653/products/wagner_field_nurse_dress_000018680008-2.jpg?v=1625318972,3,,,,,,,,,,,,,,,,,,,oz,,135.00,
field-nurse-dress,,,,,,,,s,,black,,,fnd-s-black,725.747792,shopify,1,deny,manual,335.00,335.00,true,true,"",https://cdn.shopify.com/s/files/1/0569/5805/8653/products/wagner_field_nurse_dress_000018680006.jpg?v=1625318695,4,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0569/5805/8653/products/000085320030.jpg?v=1625318695,oz,,135.00,
field-nurse-dress,,,,,,,,s,,white,,,fnd-s-white,725.747792,shopify,2,deny,manual,335.00,335.00,true,true,"",https://cdn.shopify.com/s/files/1/0569/5805/8653/products/sqa-2.jpg?v=1625318695,5,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0569/5805/8653/products/000085300034-2.jpg?v=1625318695,oz,,135.00,
field-nurse-dress,,,,,,,,m,,red,,,fnd-m-red,756.9322674375,shopify,2,deny,manual,335.00,335.00,true,true,"",https://cdn.shopify.com/s/files/1/0569/5805/8653/products/000085300026.jpg?v=1625318695,6,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0569/5805/8653/products/sqa-2.jpg?v=1625318695,oz,,135.00,
field-nurse-dress,,,,,,,,m,,green,,,fnd-m-green,756.9322674375,shopify,1,deny,manual,335.00,335.00,true,true,"",https://cdn.shopify.com/s/files/1/0569/5805/8653/products/000085300034-2.jpg?v=1625318695,7,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0569/5805/8653/products/000085320017.jpg?v=1625318695,oz,,135.00,
field-nurse-dress,,,,,,,,m,,blue,,,fnd-m-blue,756.9322674375,shopify,4,deny,manual,335.00,335.00,true,true,"",https://cdn.shopify.com/s/files/1/0569/5805/8653/products/IMG_3881.jpg?v=1625318695,8,,,,,,,,,,,,,,,,,,,oz,,135.00,
field-nurse-dress,,,,,,,,m,,black,,,fnd-m-black,756.9322674375,shopify,4,deny,manual,335.00,335.00,true,true,"",https://cdn.shopify.com/s/files/1/0569/5805/8653/products/000085320014.jpg?v=1625318695,9,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0569/5805/8653/products/000085320030.jpg?v=1625318695,oz,,135.00,
field-nurse-dress,,,,,,,,m,,white,,,fnd-m-white,756.9322674375,shopify,3,deny,manual,335.00,335.00,true,true,"",https://cdn.shopify.com/s/files/1/0569/5805/8653/products/000085320017.jpg?v=1625318695,10,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0569/5805/8653/products/000085300034-2.jpg?v=1625318695,oz,,135.00,
field-nurse-dress,,,,,,,,l,,red,,,fnd-l-red,793.7866475,shopify,4,deny,manual,335.00,335.00,true,true,"",https://cdn.shopify.com/s/files/1/0569/5805/8653/products/000085320030.jpg?v=1625318695,11,,,,,,,,,,,,,,,,,,,oz,,135.00,
field-nurse-dress,,,,,,,,l,,green,,,fnd-l-green,793.7866475,shopify,2,deny,manual,335.00,335.00,true,true,"",,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0569/5805/8653/products/000085320014.jpg?v=1625318695,oz,,135.00,
field-nurse-dress,,,,,,,,l,,blue,,,fnd-l-blue,793.7866475,shopify,2,deny,manual,335.00,335.00,true,true,"",,,,,,,,,,,,,,,,,,,,,oz,,135.00,
field-nurse-dress,,,,,,,,l,,black,,,fnd-l-black,793.7866475,shopify,1,deny,manual,335.00,335.00,true,true,"",,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0569/5805/8653/products/000085320030.jpg?v=1625318695,oz,,135.00,
field-nurse-dress,,,,,,,,l,,white,,,fnd-l-white,793.7866475,shopify,1,deny,manual,335.00,335.00,true,true,"",,,,,,,,,,,,,,,,,,,,,oz,,135.00,
continental-jacket,Continental Jacket,"<meta charset=""utf-8""><meta charset=""utf-8""><meta charset=""utf-8"">﻿﻿<meta charset=""utf-8""><br>
<h3><span>3 pockets </span></h3>
<h3><span>Blue and Black: 100% Cotton, Oxford Canvas 10oz </span></h3>
<h3><span>Turquoise: 100% Cotton, Heavy Canvas 17oz</span></h3>
<h3><span>Sturdy Metal YKK Zipper </span></h3>
<h3><span>Corozo Buttons on cuff </span></h3>
<h3><span>Manufactured in Bali and New York</span></h3>
<h3><span>Sizes are Unisex</span></h3>
<h3><span>Medium fits most women</span></h3>
<h3><span></span></h3>",Wagner Uniform,jackets,"color:red, Jacket",true,Size,m,Color,blue,,,cj-m-blue,612.3496995,shopify,7,deny,manual,288.00,288.00,true,true,"",https://cdn.shopify.com/s/files/1/0569/5805/8653/products/wagner_continental_jacket_000556840004_Red.jpg?v=1625318604,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0569/5805/8653/products/000085310034.jpg?v=1625318604,oz,,120.00,active
continental-jacket,,,,,,,,m,,black,,,cj-m-black,612.3496995,shopify,3,deny,manual,288.00,288.00,true,true,"",https://cdn.shopify.com/s/files/1/0569/5805/8653/products/cropped.jpg?v=1625318604,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0569/5805/8653/products/0005567700322.jpg?v=1625318604,oz,,120.00,
continental-jacket,,,,,,,,m,,turquoise,,,cj-m-turq,612.3496995,shopify,7,deny,manual,288.00,288.00,true,true,"",https://cdn.shopify.com/s/files/1/0569/5805/8653/products/0005567900132.jpg?v=1625318604,3,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0569/5805/8653/products/0005567900132.jpg?v=1625318604,oz,,120.00,
continental-jacket,,,,,,,,l,,blue,,,cj-l-blue,737.08760125,shopify,1,deny,manual,288.00,288.00,true,true,"",https://cdn.shopify.com/s/files/1/0569/5805/8653/products/0005567700322.jpg?v=1625318604,4,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0569/5805/8653/products/82700024_320d8d5d-d892-4fae-8ca1-a733c024e9ea.jpg?v=1625318604,oz,,120.00,
continental-jacket,,,,,,,,l,,black,,,cj-l-blue,737.08760125,shopify,0,deny,manual,288.00,288.00,true,true,"",https://cdn.shopify.com/s/files/1/0569/5805/8653/products/0005567900152.jpg?v=1625318604,5,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0569/5805/8653/products/000085300005.jpg?v=1625318604,oz,,120.00,
